🏰 Big Ben (relógio, torre)
🎡 London Eye (roda-gigante, cápsulas)
👑 Palácio de Buckingham (monarquia, realeza)
🌉 Tower Bridge (ponte, báscula)
💎 Torre de Londres (fortaleza, joias)
⛪ Abadia de Westminster (coroação, gótico)
🏺 British Museum (múmias, antiguidades)
🌳 Hyde Park (lago, pedalinho)
🦖 Natural History Museum (dinossauros, baleia)
🎨 Tate Modern (chaminé, turbinas)
🏛️ Palácio de Westminster (parlamento, política)
🎭 Covent Garden (artistas, ópera)
🌆 Piccadilly Circus (letreiros, luminosos)
🦁 Trafalgar Square (leões, Nelson)
🎸 Camden Market (alternativo, punk)
🌈 Notting Hill (colorido, feira)
🌿 Sky Garden (jardim, mirante)
🔔 St. Paul's Cathedral (cúpula, domo)
👗 Victoria and Albert Museum (design, moda)
🚀 Science Museum (foguetes, tecnologia)
🖼️ National Gallery (pinturas, Van Gogh)
🔺 The Shard (arranha-céu, pirâmide)
🌹 Regent's Park (rosas, teatro)
🌍 Greenwich Park (meridiano, hemisfério)
🔭 Observatório Real de Greenwich (tempo, telescópio)
👸 Kensington Palace (Diana, herança)
🧚 Kensington Gardens (Peter Pan, estátua)
🧀 Borough Market (gastronomia, queijos)
💡 Soho (neon, teatros)
🏮 Chinatown (lanternas, pórtico)
🛍️ Oxford Street (compras, lojas)
✨ Regent Street (curva, marcas)
🕺 Carnaby Street (anos 60, pedestres)
💰 Harrods (luxo, ostentação)
🕵️ Sherlock Holmes Museum (detetive, cachimbo)
🕯️ Madame Tussauds (cera, celebridades)
🎵 Abbey Road (pedestres, Beatles)
🎤 Royal Albert Hall (shows, elipse)
📜 Shakespeare's Globe (palha, anfiteatro)
🖌️ Tate Britain (Turner, classics)
⛲ Somerset House (pátio, fontes)
🦢 St. James's Park (pelicanos, cisnes)
🌲 Green Park (gramado, árvores)
🧺 Primrose Hill (colina, piquenique)
🌳 Hampstead Heath (floresta, piscinas)
🚤 Little Venice (canais, barcos)
🌻 Neal's Yard (escondido, rústico)
⚡ Leadenhall Market (passagens, Harry Potter)
🪖 Imperial War Museum (guerra, tanques)
🚇 Metrô de Londres (underground, tube)
🏗️ Estação Westminster (brutalismo, concreto)
🔎 Estação Baker Street (ladrilhos, silhueta)
🚉 Estação King's Cross St. Pancras (hub, conexões)
💡 Design Museum (inovação, objetos)
👻 London Dungeon (terror, atores)
🦈 Sea Life London Aquarium (tubarões, pinguins)
⛵ Cutty Sark (veleiro, oceano)
⚓ HMS Belfast (navio, canhões)
🪦 Highgate Cemetery (túmulos, Marx)
🏢 Barbican Centre (arquitetura, residencial)
🎼 Southbank Centre (cultura, skatepark)
🌁 Millennium Bridge (pedestres, aço)
🎨 Brick Lane (grafite, curry)
🧵 Spitalfields Market (artesanato, roupas)
🌷 Columbia Road Flower Market (plantas, flores)
🏭 Battersea Power Station (indústria, tijolos)
🌴 Kew Gardens (estufas, botânica)
🦌 Richmond Park (cervos, veados)
🤴 Hampton Court Palace (Tudor, labirinto)
⚽ Wembley Stadium (futebol, arco)
🔴 Emirates Stadium (Arsenal, estádio)
🔵 Stamford Bridge (Chelsea, arena)
🐓 Tottenham Hotspur Stadium (modernidade, teto)
🏏 Lord's Cricket Ground (críquete, esporte)
🎾 Wimbledon Lawn Tennis Museum (tênis, grama)
🛡️ The Wallace Collection (armaduras, rococó)
🗝️ Sir John Soane's Museum (excentricidade, antiguidades)
🚢 Museum of London Docklands (porto, comércio)
📮 The Postal Museum (correios, trenzinho)
🧬 Wellcome Collection (medicina, ciência)
🖍️ Saatchi Gallery (contemporâneo, tendências)
🏊 The Serpentine (lago artificial, natação)
🎬 Leicester Square (cinema, tapete)
🍷 Mayfair (galerias, alta-sociedade)
🏡 Chelsea (charme, mansões)
🏘️ Belgravia (embaixadas, praças)
💍 Knightsbridge (boutiques, grifes)
🕰️ Greenwich Market (antiguidades, comida)
🥨 Maltby Street Market (rua, viaduto)
🍽️ Mercato Mayfair (igreja, praça-alimentação)
🧀 Seven Dials Market (rotatória, queijo)
🎶 The O2 Arena (shows, cúpula)
👑 The King's Gallery (exposições, coroa)
🖼️ Royal Academy of Arts (artistas, pátio)
🚌 London Transport Museum (ônibus, bondes)
🏛️ Chiswick House and Gardens (palladiano, vilas)
✨ Eltham Palace (art-déco, medieval)
📚 Kenwood House (filmes, biblioteca)
🦚 Holland Park (Kyoto, pavões)
🖌️ Dulwich Picture Gallery (antigos, mestres)
🗿 The Line (esculturas, ao-ar-livre)
⚡ Plataforma 9¾ (magia, bruxo)
🚄 St. Pancras International (eurostar, trem)
🌇 Horizon 22 (vista, gratuito)
🚇 Estação Piccadilly Circus (subterrâneo, histórico)
🚀 Estação Canary Wharf (futurista, Foster)
🧩 Estação Tottenham Court Road (mosaicos, Paolozzi)
🏛️ Estação Gants Hill (Moscou, arquitetura)
🎓 South Kensington (bairro, museus)
🐻 Paddington Station (urso, ferrovia)
🏢 Whitehall (ministérios, governo)
🚪 Downing Street (premiê, portão)
🐎 Horse Guards Parade (cavalaria, soldados)
🎖️ The Mall (avenida, desfiles)
🗿 Marble Arch (arco, mármore)
